origin_census_block_group,Tot_Population_ACS_15_19,Race,Entropy_norm,Entropy_cat,permeability_mean,sample_count,range_mean,range_variance,range_median,phase_angle_mean,phase_angle_variance,phase_angle_median,baseline_mean,baseline_variance,baseline_median,Time,Time1,Time2
295101076001,792,3,0.1168434022206059,1,0.0533924906434865,251,0.17829047679579052,0.0071942943095881515,0.17561582876504964,0.6849079429429443,0.301296585131373,0.7306858331275081,0.4510874618795199,0.004483974393261495,0.4512854385186788,2.5071491476922425,14.492850852307756,14:29
295101076002,460,3,0.0,1,0.0875627923090247,251,0.13113596850505593,0.011122369476110849,0.13979209555689434,0.6697504049983793,0.5128421734738864,0.7804022206758362,0.379909268887308,0.0038611103454096476,0.3723748142457656,2.4516640146456914,14.548335985354306,14:32
295101076003,547,3,0.0,1,0.0816405311113862,251,0.20470333283418726,0.005894370330424912,0.2022209250425272,0.69500239049182,0.14440693016008824,0.691833834014313,0.4682650292174146,0.00291562658227615,0.4653313997540133,2.544100515871507,14.455899484128492,14:27
295101081001,1624,3,0.1786406409329662,1,0.0389942692285047,251,0.1785262333204504,0.007073248423370116,0.1791231626102286,0.8189618974357701,0.2043155063233784,0.8696960915184822,0.4529801321682402,0.0023905724575233123,0.4515754702229859,2.9978621861588732,14.002137813841125,14:00
295101081002,786,3,0.0984465844734418,1,0.1057855093620429,251,0.158004119520397,0.004308663722841813,0.15548714512069342,0.8420941371449647,0.2278370971896605,0.8958301959225294,0.4342951501484698,0.004160029533454836,0.4393207191585225,3.082539222932488,13.917460777067511,13:55
295101082001,1285,3,0.1452958841273028,1,0.0554575472429347,251,0.16628616418119158,0.003694715677616164,0.16352865532881414,0.9187021774997164,0.21684600328592324,0.9449555840042893,0.44656886556327896,0.0026109861695343237,0.450554057342813,3.3629678339024567,13.637032166097542,13:38
295101082002,799,3,0.2266338280744868,1,0.0908905055622315,251,0.2276348332999757,0.004225953299631328,0.2295629984974568,0.9938189230306708,0.11054693440191593,1.0115515915300624,0.4311888158081839,0.002351883399181525,0.4316919590410045,3.637937465187688,13.362062534812312,13:21
295101083002,684,3,0.3053869161537973,1,0.07655926003588,251,0.13565463493468494,0.006728521646015107,0.14242942600623662,0.6536686953781967,0.4298479846525374,0.7496894527603756,0.43254323988512894,0.002672203511655737,0.4322525604987663,2.3927958923190187,14.607204107680984,14:36
295101097004,559,3,0.1434107990502409,1,0.0747207948171536,251,0.1434872378213112,0.007157840112475422,0.15029955165568126,0.4960884345914279,0.5399158530560579,0.6268409843165812,0.3504380685416859,0.004452905367671328,0.3461590150091215,1.8159633112467612,15.184036688753238,15:11
295101101001,799,3,0.0,1,0.0652608589422037,251,0.1955366529465314,0.008099104929020337,0.19579894332428024,0.91664477342575,0.3320098453355116,0.9928141167595628,0.4366450997119776,0.0031863245238759963,0.4379892037464858,3.355436575251346,13.644563424748654,13:38
295101101003,1144,3,0.2047343659307785,1,0.0432187334577773,251,0.1157243752591129,0.009202514936176959,0.13377904766204649,0.5012758754413689,0.5022581672033893,0.6028723089799685,0.3956377215623187,0.0036200541709333033,0.3935367707675553,1.834952268871855,15.165047731128144,15:09
295101103001,630,3,0.0540552247239229,1,0.0903244166192374,251,0.14998188845902988,0.005853019391558753,0.14716651259198266,0.621076672143876,0.31486577800230736,0.6816518608960647,0.3733242952312416,0.002778076174123149,0.3693452298021493,2.273490715447533,14.726509284552467,14:43
295101104001,438,3,0.20394314903226604,1,0.0853662973676071,251,0.19315548862678453,0.013640323817449264,0.1916163153003048,0.7887504904763311,0.364300685439294,0.9115366483271852,0.43497198533159703,0.004711257450593315,0.4337371884782961,2.887271406785695,14.112728593214305,14:06
295101104002,716,3,0.1639208769787695,1,0.0557101204122058,251,0.1988760622109162,0.01103520299805927,0.2007704976291349,0.8532340656651364,0.2886705513971201,0.929699190893094,0.3965329519948697,0.004154001881273535,0.3919754193040153,3.1233176407950287,13.876682359204972,13:52
295101105001,582,3,0.1199974963441763,1,0.0814747881326926,251,0.1611299619897742,0.008205638335911052,0.16835235310234706,0.7304573534097833,0.3879086541093431,0.7940343274954977,0.4356225995663176,0.003185719702280039,0.4324969883580839,2.6738856657987826,14.326114334201216,14:19
295101111001,1238,3,0.1875182521363797,1,0.0384375261474297,251,0.21965141166025468,0.006829186792824804,0.21114412583614528,0.9312705510200706,0.20119478444603173,0.9568800596779372,0.4252429993619428,0.002809899780901745,0.42669085746147584,3.4089751656674188,13.59102483433258,13:35
295101111002,657,3,0.0800113783506531,1,0.0940408836495721,251,0.2198182789902549,0.006347479293155189,0.21909861487887164,0.9188391952239848,0.16925326584237424,0.9680533868311864,0.4534160705396582,0.0020717122801498376,0.4521121790819328,3.363469396008953,13.636530603991046,13:38
295101112002,911,3,0.2842779467219242,1,0.0602420176593297,251,0.18035212777943624,0.009055964539932192,0.16749505713430127,0.9387620370707443,0.31876385222705106,1.0183209656141483,0.3474364022400063,0.0036597610754747632,0.34394390987148865,3.4363982274969995,13.563601772502999,13:33
295101113001,742,3,0.0,1,0.0573930692325039,251,0.1867757853558923,0.006808592779308224,0.1805106163527904,0.6126677539914412,0.239981650943118,0.6344823123573378,0.4551050977122425,0.002903366850264278,0.4578400152617919,2.2427093349771847,14.757290665022815,14:45
295101122003,338,3,0.5355885630524421,2,0.1221150899361134,251,0.16171532973590275,0.01031687846982742,0.1637652915666868,0.6093357671576477,0.4353684375803308,0.6729032564193235,0.3988471328941261,0.0034643706517643725,0.3944488942740561,2.230512384954132,14.769487615045866,14:46
295101123003,592,3,0.3579157917241568,1,0.0955906105308495,251,0.17897828679508734,0.007147021874712456,0.17379861882948072,0.5993053685436274,0.23419356233949185,0.5989639595137279,0.4358404504225705,0.003222178129100545,0.4349430017548438,2.1937954719802533,14.806204528019748,14:48
295101152002,1288,3,0.7451633666697995,2,0.0438803791046992,251,0.23720502940978616,0.0057827874649600645,0.2331774905024181,0.925123995257504,0.1413032452772076,0.9358825661788672,0.4024465748794074,0.002477115306244709,0.40173993804745495,3.3864753068175633,13.613524693182438,13:36
295101153003,806,3,0.7399483677125349,2,0.1139808013603156,251,0.17389503292135308,0.004757132903904722,0.16950317032727882,0.9062561712478808,0.1630139277506459,0.9452607508397516,0.35519299814888394,0.0018499387979588077,0.3529375618956577,3.317408435317615,13.682591564682387,13:40
295101155001,652,3,0.4723517778023143,2,0.0992471830469532,251,0.1991641588227553,0.0044786354191793405,0.2043550696970547,0.9679566844772288,0.18711757657983194,1.0048970128249326,0.4992072294682622,0.0021053585678742904,0.4977566606951729,3.5432670937680397,13.456732906231961,13:27
295101155002,618,3,0.4254576347050778,2,0.0641511623409276,251,0.1854276231402316,0.0104776970463176,0.19394054294843271,0.7230339725401161,0.3827961309959834,0.830271815360707,0.4072165127439397,0.0034735832145318586,0.4043796397695066,2.646711907321972,14.353288092678028,14:21
295101155003,1588,3,0.5150345861918693,2,0.0309191445803687,251,0.19186970267426226,0.01165316885083862,0.1841948952239988,0.8351128753665878,0.3422296256224829,0.9393512381715982,0.4319035617224897,0.00366818428984291,0.4312346243156874,3.056983869548403,13.943016130451596,13:56
295101155004,1433,3,0.5452736608482128,2,0.0431185238112448,251,0.1775044156797807,0.004199951619225207,0.1824301509593753,0.6803646108884082,0.2250040157507773,0.644229057193319,0.4756043133946922,0.002277124270422789,0.47159388641024,2.4905179913367346,14.509482008663266,14:30
295101155005,944,3,0.2470791250406533,1,0.0626139509757579,251,0.2269349242752116,0.005879193028989372,0.22823615583724954,0.9945705630577412,0.15854239356747718,1.0005588613090188,0.4343809363024714,0.003237637377313867,0.4372834262450182,3.6406888913795696,13.35931110862043,13:21
295101155006,918,3,0.5193590126404585,2,0.050338949214037004,251,0.17825090156492512,0.01040650592904594,0.19242897635806816,0.8029672878030369,0.36742356533055176,0.9111808845787304,0.4489380635050768,0.003248790914192091,0.4506993597281701,2.939312898883756,14.060687101116244,14:03
295101155007,913,3,0.6918353016933942,2,0.0617988069627296,251,0.2445386955069032,0.0053565116050821576,0.2401166768019883,0.8652837401640544,0.10880076204508277,0.8518438808257129,0.4566865558321162,0.002424724373005688,0.4537219352739629,3.1674262417555066,13.832573758244493,13:49
295101156001,1328,3,0.5945164224183166,2,0.0567279076465223,251,0.12744067801612438,0.0038514083521084814,0.12849722614257253,0.4949669900703298,0.3374380987572657,0.4720652449956044,0.3825125904031236,0.002368000381463604,0.3826563137342168,1.811858192151232,15.188141807848769,15:11
295101157002,1117,3,0.7858049503015829,2,0.0654748954049513,251,0.20264491573773152,0.003762002894348863,0.2073096410747801,0.8552776249209321,0.12837957872312553,0.8781574298886515,0.4147199487478633,0.0019142607029741761,0.4186761513493849,3.1307982196074335,13.869201780392563,13:52
295101157004,923,3,0.7369642645649623,2,0.0574473503602059,251,0.22774502936869656,0.006494957607662833,0.2285918809580451,1.0588731705206216,0.1617496496192401,1.0822405166417723,0.4331794389897446,0.003304897533930268,0.42972560553473377,3.87607268150212,13.123927318497882,13:07
