Date,Day of Week,origin_census_block_group,Weight,Race,Entropy_norm,Entropy_cat,device_count,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range
2020-04-16,Thursday,282688894487.26355,22.430983225971023,1.6463522732931626,0.4567657551330725,1.6095562969971615,1556.1755241272845,0.057081147542430426,1.0982074066455128,0.5701942909943801,0.9782091600253472,0.9749405340291492,0.0008898356896651849,0.11416229508486088
2020-04-17,Friday,283035467993.1603,22.36209154267008,1.6462709861430374,0.4567795708554777,1.6095617529880475,1556.9218844272473,0.05677990952654757,0.9532339674523126,0.568742764407401,0.9766813830376132,0.9731835904932552,0.0009342235918035954,0.11355981905309515
2020-04-20,Monday,282548803087.1826,21.263240833212517,1.6477353644582602,0.4562558870726144,1.6086696033511596,1546.1527665237604,0.06018260865578012,1.2379579317877825,0.5404499273815176,0.9512106430358828,0.9438922394912654,0.002295458222113061,0.12036521731156025
2020-04-21,Tuesday,282159342799.81433,20.438343658575693,1.6519868387749936,0.4563136283514778,1.6090181648268211,1539.7447189611194,0.05941239788441436,1.0869983165435906,0.5373257246355695,0.9839407802132338,0.9815318972452188,0.0007057985835556293,0.11882479576882875
2020-04-22,Wednesday,282320484078.84344,20.487379406015414,1.6517182632398757,0.4562301050047876,1.6087178738317758,1539.6974785825546,0.060492441646526514,1.0623318006836229,0.5366771371558172,0.979128545682452,0.9759978275348198,0.0009540788242358328,0.12098488329305306
2020-04-23,Thursday,282475649038.7875,20.691472317859425,1.6503900239826894,0.4563441868185206,1.6090088945982777,1542.1847888204522,0.059296855640381535,0.9426942608872264,0.531570156136463,0.972825399478524,0.9687492094003024,0.0011911337783371983,0.11859371128076307
2020-04-24,Friday,282240226031.574,20.995336019245805,1.6505203869229828,0.4565487514264093,1.6095506305865066,1543.9614007591526,0.0577848143984416,0.97958715442063,0.5278344864244415,0.9833646835707912,0.98086938610641,0.0006869097242666875,0.1155696287968832
2020-04-27,Monday,282613712231.0635,21.198202428238204,1.6489491199308903,0.4562743172784458,1.6087790943092464,1545.5462563931399,0.06117729105639511,1.093373018202428,0.534052135818077,0.9801063480051936,0.9771223002059723,0.0009310445505818897,0.12235458211279025
2020-04-28,Tuesday,282803422831.5433,21.1869974594062,1.6487106664832252,0.4563305844667852,1.6089545785097978,1546.4958578195324,0.06269170088881353,1.0519099940165944,0.5275591603129188,0.9837428194953556,0.9813042424196592,0.0007938695515599586,0.12538340177762705
2020-04-29,Wednesday,282553973501.51984,21.28344828004956,1.6480771499351186,0.4564147661971793,1.6091335378081868,1546.600576068578,0.0630617532516699,1.0318014937276658,0.5153086060374208,0.9751250322967204,0.9713937871412284,0.0012382339520229735,0.1261235065033398
2020-04-30,Thursday,282770630305.7421,21.5112348437436,1.6482031057431599,0.4564377471985629,1.6089573576534384,1548.5643381809216,0.06247854487634648,1.0380631423136295,0.5046737098930874,0.9790354347714548,0.9758907499871732,0.0010207164093700648,0.12495708975269296
2020-05-01,Friday,282184321789.118,19.958796835550558,1.655667179738673,0.455503433584984,1.6076310154455715,1534.6886219403832,0.06773917988035408,0.8946371340280016,0.5280787117002009,0.9803167000162368,0.9773642050186724,0.0011132353450176997,0.13547835976070816
2020-05-04,Monday,282346609961.3733,20.39550095517185,1.653221277572407,0.4554871197626695,1.6075085824230024,1538.561576138178,0.06860851308024275,1.0679751605097787,0.5401978506370372,0.9797201618769604,0.9766781861585044,0.0011922029690285148,0.1372170261604855
2020-05-05,Tuesday,282425864126.6655,20.40605651848669,1.6532816759656443,0.4554342199054669,1.6073079215563657,1538.9959888998544,0.06942352813886463,1.0948535453866195,0.5398834996197337,0.975713292020864,0.9720702858239936,0.0014704472479873825,0.13884705627772925
