county,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range,max_y,min_y
35033,0.08063492120441579,1.2459773747472564,0.3296418039293785,0.9228670809822108,0.9112971431295426,0.006717242239475167,0.16126984240883158,0.41027652396671255,0.24900691618532464
35035,0.10826233338738178,1.158908735215082,0.4427513456633588,0.9615382412981116,0.9557689774928284,0.005768856877784512,0.2165246667747636,0.5510131682949049,0.3344890125644945
35037,0.10117368194026567,1.1640478711435855,0.3993480671997377,0.9433118017511612,0.9348085720138352,0.0075713239558064405,0.20234736388053132,0.5005215329236176,0.29817444397281523
35039,0.10129902997472627,1.0979583972839329,0.3881470826249535,0.9691247596867444,0.964493473639756,0.004007897082748226,0.2025980599494525,0.4894460482316325,0.2868482587921357
35041,0.13261889533736515,1.1372262206080817,0.4419263080758438,0.9585274626046976,0.952306581995402,0.009351691984586649,0.2652377906747303,0.5745451926089887,0.3093079109568161
35043,0.13937275189122264,1.2040737231784044,0.4712702905215549,0.9674011266721544,0.9625112956729776,0.008074122890895805,0.2787455037824453,0.6106427820126294,0.33189764094015817
35045,0.12757475703025214,1.1713628648426415,0.4308276096416045,0.9716848862521852,0.9674376191900128,0.005839829369308511,0.25514951406050435,0.5584017564708338,0.30325285278259706
35047,0.09648950555246832,1.0744449041824575,0.3974504889278883,0.9626074977792174,0.9569986224461,0.004427027665328535,0.19297901110493665,0.4939399815808165,0.30096131648383684
35049,0.12010948385654248,1.0770730080633404,0.4233256416518925,0.9647302161347384,0.9594397485549492,0.006457181669003823,0.24021896771308496,0.543434531775748,0.30321615779536226
35051,0.07804949462380148,1.0312984594069166,0.4349992387013595,0.9659848895471616,0.960882622979236,0.0026181530707449553,0.15609898924760296,0.5130486571680657,0.3569498632869038
35053,0.09662430290421824,1.0675996992792969,0.4127204121117925,0.9733115203097746,0.9693082483562409,0.0031323167709828713,0.1932486058084365,0.5093447149438598,0.31609657531366697
35055,0.0968832837619242,1.059487110082598,0.3822767036303775,0.9556202067587256,0.9489632377725344,0.005330699477250411,0.1937665675238484,0.4791598194864518,0.2853934996049638
35057,0.1275873274072491,1.1821404328598817,0.4371634122621398,0.9634445270091636,0.9579612060605384,0.0076098618185026536,0.2551746548144982,0.564750633256332,0.3095763039433932
35059,0.10745384302479928,1.178112860869533,0.4001986205873409,0.9488530206726548,0.9411809737735528,0.007666640922041542,0.21490768604959853,0.5076520614203333,0.2927447865372039
35061,0.12154653095974804,1.1780132988816936,0.4507131611803479,0.9749949501643196,0.9712441926889676,0.00466711269345016,0.2430930619194961,0.5722592034881954,0.3291666360287752
