GIDBG,phase_angle_variance,group_Q
10970075001,0.243011745896016,1
10970076001,0.5618748545608486,1
10970076002,0.4396545738520116,1
10990757001,0.339208389899545,1
10990757002,0.1899686264526977,1
10990758002,0.260828917503875,1
10990759002,0.1010627019303527,1
10990759003,0.3763785664735916,1
10990759005,0.0614307131536183,4
10990760003,0.1069215618653515,3
11010003001,0.1900409799542271,3
11010004001,0.159431005174689,1
11010004003,0.4282675261874395,1
11010005003,0.084676769621072,1
11010006001,0.2219003053338471,1
11010010002,0.3772331404809271,2
11010011006,0.5004189248550664,1
11010012002,0.3664158822925437,1
11010013002,0.1137656141785732,2
11010015001,0.2214500012600099,4
11010015003,0.1789602273475532,4
11010016002,0.2301191530152911,3
11010016003,0.2199802139859168,2
11010018001,0.0861182861060635,2
11010020002,0.0513300924266369,4
11010021002,0.3124110787743938,3
11010021003,0.1274765310706762,3
11010022011,0.2376979506216129,2
11010022013,0.5803085120607756,1
11010022016,0.3883050823941353,1
11010022021,0.4723722521517704,2
11010023002,0.4300404704931504,1
11010023004,0.4081687428325298,1
11010024002,0.5811911418861985,1
11010025001,0.0926112264168139,4
11010025002,0.5336215048297066,1
11010028001,0.0408709427041306,3
11010028002,0.0722831678377816,4
11010028003,0.0813185944077315,2
11010029001,0.1505534236983748,2
11010029002,0.1853882933647878,2
11010029003,0.0642195798192183,3
11010029004,0.1680182241085864,4
11010029005,0.1217051500166431,4
11010030001,0.4838867766871002,2
11010030002,0.3999916627251856,1
11010031001,0.1943960231872256,2
11010031002,0.2585756721504658,1
11010031003,0.1316812670437726,2
11010032002,0.2255174120580278,3
11010032003,0.1801292325353339,1
11010032004,0.0859172996573532,2
11010032005,0.1535423816083953,1
11010032006,0.0729920795884134,2
11010033011,0.1989130274002678,1
11010033012,0.0896993161745081,2
11010033021,0.0498495329716943,4
11010033022,0.07540641941941,3
11010033023,0.0562473872373362,3
11010033024,0.0568094598604258,3
11010051012,0.1908747395868462,1
11010051013,0.1162160687982117,1
11010051014,0.0329476569692572,4
11010051022,0.1080487519124435,3
11010051023,0.3329476741291267,1
11010051024,0.1745296640314003,2
11010053021,0.1481490351509498,2
11010054021,0.0457160903317084,4
11010054022,0.0536905053064744,3
11010054023,0.2146728680060782,1
11010054024,0.2621138102356218,2
11010054031,0.0775688788372893,4
11010054032,0.0708549058137723,3
11010054081,0.0480239860780069,4
11010054084,0.0294245640660736,4
11010054091,0.0885020831927453,3
11010054101,0.0377875276346313,2
11010054102,0.2205907472586226,2
11010054103,0.0756195215828432,3
11010054104,0.0453550535411507,3
11010055012,0.0376737866766703,3
11010056031,0.0655506497407042,4
11010056032,0.2003714350732603,1
11010056033,0.0766743618856907,4
11010056034,0.1104186173390725,3
11010056052,0.0395897624660588,4
11010056061,0.0562244810682776,2
11010056062,0.0519374185622974,2
11010056063,0.1492515879252672,2
11010056064,0.1675577921232486,3
11010056091,0.0247342774290606,4
11010056101,0.0634677399004657,2
11010059011,0.0338564916985056,4
